gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	sig
TLR5	1.45978051395518	3.82527564396769	4.35021674150267	6.54091364124668e-05	0.00201826885511838	1.55373991646369	TRUE
SNCA	-1.40909263601506	5.56018755067588	-4.34949248360753	6.55666156443499e-05	0.00201826885511838	1.55148719906133	TRUE
RASL11B	-1.83937644967699	7.50742204077955	-4.34869386368339	6.57406919281461e-05	0.00201826885511838	1.54900337779987	TRUE
PYCARD	1.58402099042948	3.96730929677584	4.34285524578126	6.70270901719444e-05	0.00204853422899949	1.53085052055285	TRUE
LOX	-2.2289259828596	4.15032007939486	-4.33692043964724	6.83597946476823e-05	0.00208241665796537	1.51240957979859	TRUE
P2RY14	1.92490861058995	4.7977305161653	4.32682326885314	7.06867120369817e-05	0.00214594782132761	1.48106065344691	TRUE
B3GALT2	-1.98274670735073	4.21965258439711	-4.32200303863419	7.18245654163463e-05	0.00217082184299383	1.4661065556714	TRUE
SMIM48	-2.01941821639992	7.09450836552009	-4.31388849976663	7.37804619360545e-05	0.00222500326692557	1.44094901206435	TRUE
ETS2	-1.28925869965886	7.35219318703607	-4.30953279834493	7.48516265071278e-05	0.00225232344573656	1.42745367576628	TRUE
ARHGEF12	-1.06275084690658	5.15382004396465	-4.30534988794445	7.58945366718262e-05	0.00227867495456754	1.41449941635217	TRUE
CCNB1	1.2676609146015	4.28473049004334	4.30391634089367	7.62552010261453e-05	0.00227946194120041	1.41006108540808	TRUE
NAP1L3	-1.36690709170723	5.91760394461566	-4.30232877112122	7.66565621914794e-05	0.00228644551254279	1.40514666268884	TRUE
MITF	1.00612161435297	6.75856361766565	4.29450306335916	7.86652507462893e-05	0.00232720011195324	1.38093353946116	TRUE
KLF7	-1.5328581850979	7.77387139786106	-4.28923950539221	8.00450010127853e-05	0.00235149441552861	1.36465894663065	TRUE
MOXD1	2.04735503381602	4.19902791172702	4.28058263053914	8.23656101524391e-05	0.00240412340896766	1.33791194662023	TRUE
IGKV2-24	2.62249079548869	9.49182424328326	4.26603128199132	8.64145642363136e-05	0.00249558670573133	1.2930078728332	TRUE
