gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	sig
OR7A5	-0.0431186771201473	2.64741969167896	-1.19405407509439	0.237987828383938	0.492936041437693	-5.68365876278599	FALSE
VPS39	0.284890503017255	6.59602157438906	1.1936745786655	0.238134982447158	0.493165898775024	-5.68409515263548	FALSE
SRPK2	0.13522120323989	5.24242634844415	1.19339446414138	0.238243642467374	0.493186385677438	-5.68441717742384	FALSE
PIN4	-0.130972970611701	7.94148892902212	-1.19333065213674	0.23826840100269	0.493186385677438	-5.68449052689541	FALSE
MBL1P	-0.0432913429058135	2.53713227890529	-1.19327601851169	0.238289599887874	0.493186385677438	-5.68455332322674	FALSE
BMS1P21	-0.0432913429058135	2.53713227890529	-1.19327601851169	0.238289599887874	0.493186385677438	-5.68455332322674	FALSE
ECE1	-0.14421348618314	4.64769381639871	-1.19257529721662	0.238561614629253	0.493634829217314	-5.68535849730653	FALSE
OLA1	0.130385870215404	11.4113774529433	1.19253130488492	0.238578699646663	0.493634829217314	-5.68540903244401	FALSE
STXBP6	-0.0567140312973127	2.49263972405915	-1.19216696091352	0.238720231735063	0.49375635833271	-5.68582749620575	FALSE
MCCC2	0.23693227568021	6.75895995269733	1.19205999035213	0.238761796816676	0.49375635833271	-5.68595033328876	FALSE
PCSK5	-0.222126978463672	3.71735949428633	-1.19204394737251	0.238768031020269	0.49375635833271	-5.68596875496288	FALSE
RARS2	-0.0446313903246094	2.58606105520792	-1.19200715672986	0.23878232808519	0.49375635833271	-5.68601099967457	FALSE
MARCHF3	0.146741517114005	2.74555002986913	1.19184129595717	0.238846790301231	0.493814742696205	-5.68620143337407	FALSE
CPS1	-0.198652771145018	4.60631853436889	-1.191453879813	0.238997409834371	0.494051212231167	-5.68664614926981	FALSE
SCRN1	0.487249177217714	7.16446574279002	1.19121634610442	0.239089792231698	0.494167241533022	-5.6869187472585	FALSE
GHITM	0.156780138138263	12.2206326032924	1.19100079569764	0.239173647255569	0.494210626314156	-5.68716607239561	FALSE
DELE1	0.159390258963827	6.91991976460795	1.19091093127563	0.239208613290168	0.494210626314156	-5.68726917143504	FALSE
DUSP8	-0.38681195190109	5.19307435723146	-1.19088282038255	0.23921955193462	0.494210626314156	-5.68730142079986	FALSE
RPS27	-0.114931047979988	14.1104728152915	-1.19061615773085	0.23932333504253	0.494350110617476	-5.68760730564375	FALSE
ERCC5	-0.135587187579686	9.53409984956834	-1.19045427047368	0.239386356299161	0.494405367077858	-5.68779297260405	FALSE
LAMB2	-0.386420200484658	7.61963482905191	-1.19034979058946	0.239427035778461	0.494414471246205	-5.68791278693442	FALSE
KLHL28	-0.235002298859845	2.77037422872646	-1.18966534390617	0.239693650794153	0.494863392713825	-5.68869744380705	FALSE
AGTR2	-0.072593063695868	2.73866168210506	-1.18957945982666	0.239727120746167	0.494863392713825	-5.68879587212414	FALSE
NAT1	0.443033638876617	8.47188035331117	1.18951217436994	0.239753344984381	0.494863392713825	-5.68887298061344	FALSE
ACTR8	0.256737235737406	6.63888759490243	1.18934804460956	0.239817322638511	0.494920503389182	-5.68906105446944	FALSE
EDDM3A	-0.0774820748349909	2.91170350500628	-1.18917319711309	0.239885491689294	0.494959719477831	-5.68926138265768	FALSE
ISYNA1	-0.216172987058901	3.93637373109521	-1.18910199463385	0.239913255941394	0.494959719477831	-5.6893429535719	FALSE
RPL23AP32	-0.284986385886509	6.24985195798723	-1.18901992882815	0.239945259064596	0.494959719477831	-5.68943696399736	FALSE
ONECUT1	-0.00949424976024238	2.51227069185574	-1.18871960252146	0.240062403441832	0.495126436876321	-5.68978095033837	FALSE
CEP15	0.283068282797995	8.48266346256709	1.18862072445095	0.240100980605319	0.495131084210454	-5.68989418488242	FALSE
ATP5PF	0.137945494930888	13.5093507817871	1.18847662040232	0.240157210686581	0.495172128099952	-5.69005919600163	FALSE
RXRB	-0.0154123809210449	2.51298316930644	-1.18766894031091	0.240472548154008	0.495747323636914	-5.69098370710839	FALSE
HSPA4	0.303718211429893	6.89248626982838	1.18683136155921	0.240799875907143	0.496347060107404	-5.69194181468211	FALSE
NLGN3	0.0805236388121298	3.23066060389407	1.18652789009269	0.240918552983982	0.49651660050267	-5.69228879856335	FALSE
POGZ	-0.160255364164664	5.73679856823804	-1.18629080785992	0.241011297059517	0.496631959821517	-5.69255981585157	FALSE
FGB	-0.586126869070339	5.38943944095441	-1.18619854743912	0.241047395361981	0.496631959821517	-5.69266526825194	FALSE
ZBTB18	-0.0869378480413037	6.69299632194914	-1.1859512751736	0.241144163755378	0.496692398494203	-5.69294785886216	FALSE
